control,ownhere,JWNHER
'185358030141','-6','-9'
'185358030844','1','-9'
'185379810147','2','-9'
'185389050146','-6','-9'
'185391600145','2','-9'
'185401550144','2','-9'
'185408750143','2','-9'
'185408910143','2','-9'
'185410930143','2','-9'
'185423990145','1','-9'
'185433510148','2','-9'
'185433920248','2','-9'
'185434770148','2','-9'
'185434930148','1','2'
'185443170148','-6','-9'
'185468910143','2','-9'
'185477190140','-6','-9'
'185477350140','-6','-9'
'185482370143','2','2'
'185482770243','2','-9'
'185489750146','1','2'
'185494070146','2','-9'
'185517520142','2','-9'
'185530990148','-6','-9'
'185532970142','-6','-9'
'185548950148','1','2'
'185553780149','2','-9'
'185558450148','-6','-9'
'185591690148','1','-9'
'185600920149','2','-9'
'185638200147','-6','-9'
'185641030448','1','-9'
'185641030745','1','-9'
'185641840242','1','-9'
'185698170144','2','2'
'185698580144','2','-9'
'185746190142','2','-9'
'185746350142','2','-9'
'185763970143','2','-9'
'185791850146','1','2'
'185794040144','2','-9'
'185795350148','2','-9'
'185795500148','2','-9'
'185806380145','1','-9'
'185809150141','2','-9'
'185809310141','2','-9'
'185809560141','2','-9'
'185809740142','2','-9'
'185812530148','2','-9'
'185822220141','-6','-9'
'185850960143','2','-9'
'185857310142','1','-9'
