control,ROTHE,rgroc,rclot,rcarp,rkidc,rmedi,rutil,rcost
'269502430133','2','-9','-9','-9','-9','-9','-9','-9'
'271037740149','1','-9','-9','-9','-9','-9','-9','-9'
'271494150141','2','-9','-9','-9','-9','-9','-9','-9'
'271502930133','2','-9','-9','-9','-9','-9','-9','-9'
'271549730142','2','-9','-9','-9','-9','-9','-9','-9'
'271583540143','2','-9','-9','-9','-9','-9','-9','-9'
'272500080242','2','-9','-9','-9','1','-9','-9','-9'
'272596750149','2','-9','-9','-9','-9','-9','-9','-9'
'272926170148','2','1','-9','-9','-9','1','-9','1'
'273319930149','2','-9','-9','-9','-9','-9','-9','-9'
'274502630133','2','-9','-9','-9','-9','-9','-9','-9'
